字,拼音,IPA,備註
場,chang2,tʂʰã2,
場,zuo2,tsuo̞2,
堤,di1,ti1,
堰,ye4,ie̞4,
報,bo4,pɔ4,
堡,bo3,pɔ3,
堡,bu3,pu3,
塞,sae4,sɛ4,
塑,sou4,sɤu4,
塑,suaq5,suʌʔ5,
塘,tang2,tʰã2,
塗,tu2,tʰu2,
塚,zueng3,tsuəŋ3,
塔,taq5,tʰʌʔ5,
填,tie2,tʰie̞2,
填,die1,tie̞1,
塌,taq5,tʰʌʔ5,
塊,kuae4,kʰuɛ4,
塊,kuae3,kʰuɛ3,
塢,wu1,u1,
塵,cheng2,tʂʰəŋ2,
塾,suaq6,suʌʔ6,
境,jieng3,tɕiəŋ3,
墓,mu4,mu4,
墊,die4,tie̞4,
塹,qie4,tɕʰie̞4,
墅,sw4,sʮ4,
墀,chr2,tʂʰʅ2,
墟,xyu1,ɕy1,
增,zeng1,tsəŋ1,
墳,hueng2,xuəŋ2,
墜,zuei4,tsuei4,
墮,duo4,tuo̞4,白讀存疑
墮,duei1,tuei1,
壁,biaq5,piʌʔ5,
墾,keng3,kʰəŋ3,
壇,tang2,tʰã2,
壅,yueng1,yəŋ1,
壕,ho2,xɔ2,
壓,ngaq5,ŋʌʔ5,
